model,embedding,task,task_type,rmse_mean,rmse_std,r2_mean,r2_std,f1_mean,f1_std,auc_mean,auc_std
ml-Ridge,E_pa,solidus,regression,31.996893427467853,9.790526748781604,0.771450686454773,0.10922986308639386,,,,
ml-Ridge,E_pa,solvus,regression,45.90547109873352,5.934094711013536,0.7420221328735351,0.050809498763880315,,,,
ml-SVC,E_base,phase_class,classification,,,,,0.9316856728177484,0.02572115068906751,0.9820411285367268,0.011984322406098416
ml-SVC,E_pa,phase_class,classification,,,,,0.9351855045531051,0.02377070376085641,0.9794994896763576,0.013971199623737402
ml-SVR,E_base,density,regression,0.14858222025611845,0.0330828645300415,0.8231987077889272,0.10861655524700252,,,,
ml-SVR,E_base,creep,regression,747.3209396721566,74.71438929609961,-0.028758984141267895,0.06022363107582963,,,,
ml-SVR,E_base,liquidus,regression,21.943494446101486,9.068622098804045,0.7823778820075342,0.1807201227839673,,,,
ml-SVR,E_base,size,regression,77.97538083079755,19.77010580020948,0.7710640216610104,0.05450099722354736,,,,
ml-SVR,E_base,solidus,regression,25.39579769335719,8.492512802442146,0.8537603774258283,0.0790842752534893,,,,
ml-SVR,E_base,solvus,regression,31.791807891798033,2.591489863074555,0.8753932656907775,0.020381171598093367,,,,
ml-SVR,E_pa,density,regression,0.1473270791179912,0.03152479490533954,0.8273699326500982,0.1018729956033536,,,,
ml-SVR,E_pa,creep,regression,739.6266301474758,75.59801309525803,-0.007380165793491234,0.060277180728293835,,,,
ml-SVR,E_pa,liquidus,regression,21.552130114255046,8.000910325454592,0.7976708310102135,0.1465965564612284,,,,
ml-SVR,E_pa,size,regression,78.25379566185943,20.04785354321123,0.769736667661883,0.0552065127126056,,,,
ml-SVR,E_pa,solidus,regression,23.544041397512462,7.939987292664561,0.8745266606801106,0.0671771463343319,,,,
ml-SVR,E_pa,solvus,regression,29.07019971917756,3.9008413983107326,0.8948639392489973,0.02846094310454337,,,,
